SourceID,Name,Status,RuleID,FilenamePatternCount,FilenameRegex,FilteredFilenameRegex,Reason,SourceRows
netop_remote_control__impero_connect_,Netop Remote Control (Impero Connect),Generated,DR-MFT-RMM-296,9,^Connect\.Backdrop\.cloud.*\.exe$|^ImperoClientSVC\.exe$|^ImperoInit\.exe$|^Netop Ondemand\.exe$|^ngstw32\.exe$|^nhostsvc\.exe$|^nhstw32\.exe$|^nldrw32\.exe$|^rmserverconsolemediator\.exe$,,,1
netreo,Netreo,Excluded,DR-MFT-RMM-297,0,,,No safe Windows filename indicator,1
netsupport_manager,NetSupport Manager,Generated,DR-MFT-RMM-111,4,^client32\.exe$|^pcicfgui\.exe$|^pcictlui\.exe$|^remcmdstub\.exe$,,,1
neturo,Neturo,Generated,DR-MFT-RMM-112,3,^neturo.*\.exe$|^neturo\.exe$|^ntrntservice\.exe$,,,1
netviewer,Netviewer,Generated,DR-MFT-RMM-113,2,^netviewer.*\.exe$|^netviewer\.exe$,,,1
netviewer__gotomeet_,Netviewer (GoToMeet),Generated,DR-MFT-RMM-298,3,^NetViewer\.exe$|^nvClient\.exe$|^nvConsole\.exe$,,,1
nezha,Nezha,Generated,DR-MFT-RMM-299,2,^nezha-agent\.exe$|^dashboard-windows-amd64\.exe$,,,1
ngrok,ngrok,Generated,DR-MFT-RMM-349,1,^ngrok\.exe$,,,1
ninite_pro__ninite_agent_,Ninite Pro (Ninite Agent),Generated,DR-MFT-RMM-300,4,^NiniteAgent\.exe$|^NiniteOne\.exe$|^NinitePro\.exe$|^Ninite\.exe$,,,1
ninjaone__formerly_ninjarmm_,NinjaOne (formerly NinjaRMM),Excluded,DR-MFT-RMM-301,0,,,No safe Windows filename indicator,1
ninjarmm,NinjaRMM,Generated,DR-MFT-RMM-114,3,^NinjaRMMAgentPatcher\.exe$|^NinjaRMMAgent\.exe$|^ninjarmm-cli\.exe$,,,1
nomachine,NoMachine,Generated,DR-MFT-RMM-115,2,^nomachine.*\.exe$|^nxd\.exe$,,,1
nordlocker,NordLocker,Excluded,DR-MFT-RMM-302,0,,,No safe Windows filename indicator,1
noteon-desktop_sharing,NoteOn-desktop sharing,Generated,DR-MFT-RMM-303,3,^nateon.*\.exe$|^nateon\.exe$|^nateonmain\.exe$,,,1
ntr_remote,NTR Remote,Generated,DR-MFT-RMM-116,1,^NTRsupportPro_EN\.exe$,,,1
nvda__non-visual_desktop_access_,NVDA (Non-Visual Desktop Access),Generated,DR-MFT-RMM-304,3,^nvda\.exe$|^nvda_.*\.exe$|^nvda_service\.exe$,,,1
ocs_inventory,OCS inventory,Generated,DR-MFT-RMM-117,2,^ocsinventory\.exe$|^ocsservice\.exe$,,,1
onionshare,Onionshare,Generated,DR-MFT-RMM-118,2,^onionshare.*\.exe$|^OnionShare-win.*\.msi$,,,1
optitune,OptiTune,Generated,DR-MFT-RMM-119,2,^OTPowerShell\.exe$|^OTService\.exe$,,,1
pandora_rc__ehorus_,Pandora RC (eHorus),Generated,DR-MFT-RMM-120,2,^ehorus standalone\.exe$|^ehorus_agent\.exe$,,,1
panorama9,Panorama9,Generated,DR-MFT-RMM-122,1,^p9agent.*\.exe$,,,1
parallels_access,Parallels Access,Generated,DR-MFT-RMM-123,5,^TSClient\.exe$|^parallelsaccess-.*\.exe$|^prl_deskctl_agent\.exe$|^prl_deskctl_wizard\.exe$|^prl_pm_service\.exe$,,,1
parsec,Parsec,Generated,DR-MFT-RMM-305,2,^parsecd\.exe$|^pservice\.exe$,,,1
pcanywhere,pcAnywhere,Generated,DR-MFT-RMM-125,4,^awhost32\.exe$|^awrem32\.exe$|^pcaquickconnect\.exe$|^winaw32\.exe$,,,1
pchelpware,PChelpware,Generated,DR-MFT-RMM-306,1,^PcHelpWare_viewer\.exe$,,,1
pcnow,Pcnow,Generated,DR-MFT-RMM-126,3,^mwcliun\.exe$|^pcnmgr\.exe$|^webexpcnow\.exe$,,,1
pcvisit,Pcvisit,Generated,DR-MFT-RMM-127,4,^pcvisit-easysupport\.exe$|^pcvisit\.exe$|^pcvisit_client\.exe$|^pcvisit_service_client\.exe$,,,1
pdq_connect,PDQ Connect,Generated,DR-MFT-RMM-128,2,^PDQConnectUpdater-.*\.msi$|^pdq-connect.*\.exe$,,,1
pilixo,Pilixo,Generated,DR-MFT-RMM-129,2,^Pilixo_Installer.*\.exe$|^rdp\.exe$,,,1
pitunnel,PiTunnel,Excluded,DR-MFT-RMM-307,0,,,No safe Windows filename indicator,1
pocket_cloud__wyse_,Pocket Cloud (Wyse),Generated,DR-MFT-RMM-130,2,^pocketcloud.*\.exe$|^pocketcloudservice\.exe$,,,1
pocket_controller,Pocket Controller,Generated,DR-MFT-RMM-131,3,^pocketcloudservice\.exe$|^pocketcontroller\.exe$|^wysebrowser\.exe$,,,1
pocket_controller__soti_xsight_,Pocket Controller (Soti Xsight),Generated,DR-MFT-RMM-308,3,^XSightService\.exe$|^pocketcontroller\.exe$|^wysebrowser\.exe$,,,1
psexec,PSEXEC,Generated,DR-MFT-RMM-309,3,^psexec64\.exe$|^psexec\.exe$|^psexecsvc\.exe$,,,1
psexec__clone_,PSEXEC (Clone),Generated,DR-MFT-RMM-132,7,^PAExec-.*\.exe$|^csexec\.exe$|^paexec\.exe$|^remcom\.exe$|^remcomsvc\.exe$|^xcmd\.exe$|^xcmdsvc\.exe$,,,1
pulseway,Pulseway,Generated,DR-MFT-RMM-133,2,^PCMonitorManager\.exe$|^pcmonitorsrv\.exe$,,,1
putty,PuTTY,Generated,DR-MFT-RMM-310,1,^putty\.exe$,,,1
putty_tray,PuTTY Tray,Generated,DR-MFT-RMM-134,1,^puttytray\.exe$,,,1
qq_im-remote_assistance,QQ IM-remote assistance,Generated,DR-MFT-RMM-135,2,^QQProtect\.exe$|^qqpcmgr\.exe$,,,1
